FirstName,LastName,Username,Email,City,Country,Department,Telephone,Company,OU
Ian,Paice,IanPaice,ian.paice@training.local,London,UK,Drums,+44-1234581,Concerts UK Inc,"OU=Users,OU=Concerts UK Inc,DC=training,DC=local"
Mick,Fleetwood,MickFleetwood,mick.fleetwood@training.local,London,UK,Drums,+44-1234582,Concerts UK Inc,"OU=Users,OU=Concerts UK Inc,DC=training,DC=local"
Nick,Mason,NickMason,nick.mason@training.local,London,UK,Drums,+44-1234583,Concerts UK Inc,"OU=Users,OU=Concerts UK Inc,DC=training,DC=local"
Nicko,McBrain,NickMcBrain,nicko.mcbrain@training.local,London,UK,Drums,+44-1234584,Concerts UK Inc,"OU=Users,OU=Concerts UK Inc,DC=training,DC=local"
Geezer,Butler,GeezerButler,geezer.buter@training.local,London,UK,Bass,+44-1234585,Concerts UK Inc,"OU=Users,OU=Concerts UK Inc,DC=training,DC=local"
Steve,Harris,SteveHarris,steve.harris@training.local,London,UK,Bass,+44-1234586,Concerts UK Inc,"OU=Users,OU=Concerts UK Inc,DC=training,DC=local"
Adrian,Smith,AdrianSmith,adrian.smith@training.local,London,UK,Guitar,+44-1234587,Concerts UK Inc,"OU=Users,OU=Concerts UK Inc,DC=training,DC=local"
Dave ,Murray,DaveMurray,dave.murray@training.local,London,UK,Guitar,+44-1234588,Concerts UK Inc,"OU=Users,OU=Concerts UK Inc,DC=training,DC=local"
Tina,Turner,TinaTurner,tina.turner@training.local,New York,USA,Vocals,+1-1234567,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Pat,Benatar,PatBenatar,pat.benatar@training.local,New York,USA,Vocals,+1-1234568,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Belinda,Carlisle,BelindaCarlisle,belinda.carlisle@training.local,New York,USA,Vocals,+1-1234569,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Sheryl,Crow,SherylCrow,sheryl.crow@@training.local,New York,USA,Vocals,+1-1234570,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Melissa,Etheridge,MelissaEtheridge,melissa.etheridge@training.local,New York,USA,Vocals,+1-1234571,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
James,Hetfield,JamesHetfield,james.hetfield@training.local,New York,USA,Vocals,+1-1234572,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Jon,Bon Jovi,JonBonJovi,jon.bonjovi@training.local,New York,USA,Vocals,+1-1234573,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Vince,Neil,VinceNeil,vince.neil@training.local,New York,USA,Vocals,+1-1234574,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Axel,Rose,AxelRose,axel.rose@training.local,New York,USA,Vocals,+1-1234575,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Gene,Simmons,GeneSimmons,gene.simmons@training.local,Los Angeles,USA,Vocals,+1-1234576,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Peter,Criss,PeterCriss,peter.criss@training.local,Los Angeles,USA,Drums,+1-1234577,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Carmine,Appice,CarmineAppice,carmine.appice@training.local,Los Angeles,USA,Drums,+1-1234578,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Tommy,Lee ,TommyLee,tommy.lee@training.local,Los Angeles,USA,Drums,+1-1234579,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Mike,Portnoy,MikePortnoy,mike.portony@training.local,Los Angeles,USA,Drums,+1-1234580,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Alex,Van Halen,AlexVanHalen,alex.vanhalen@training.local,Los Angeles,USA,Drums,+1-1234581,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Kirk,Hammett,KirkHammett,kirk.hammett@training.local,Los Angeles,USA,Guitar,+1-1234582,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Chris,DeGarmo,ChrisDeGarmo,chris.degarmo@training.local,Los Angeles,USA,Guitar,+1-1234583,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Ace ,Frehley,AceFrehley,ace.frehley@training.local,Los Angeles,USA,Guitar,+1-1234584,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Marty,Friedman,MartyFriedman,marty.friedman@training.local,Los Angeles,USA,Guitar,+1-1234585,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Scott,Ian,ScottIan,scott.ian@training.local,Los Angeles,USA,Guitar,+1-1234586,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Steve,Lukather,SteveLukather,steve.lukather@training.local,Los Angeles,USA,Guitar,+1-1234587,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Jason,Newsted,JasonNewsted,jason.newsted@training.local,Los Angeles,USA,Bass,+1-1234587,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Leland,Sklar,LelandSklar,leland.sklar@training.local,Los Angeles,USA,Bass,+1-1234588,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Michael,Anthony,MichaelAnthony,michael.anthony@training.local,Los Angeles,USA,Bass,+1-1234589,Concerts USA Inc,"OU=Users,OU=Concerts USA Inc,DC=training,DC=local"
Bryan,Adams,BryanAdams,bryan.adams@training.local,Toronto,CA,Vocals,+1-8765432,Concerts Canada Inc,"OU=Users,OU=Concerts Canada Inc,DC=training,DC=local"
Michael,Buble,MichaelBuble,michael.buble@training.local,Toronto,CA,Vocals,+1-8765433,Concerts Canada Inc,"OU=Users,OU=Concerts Canada Inc,DC=training,DC=local"
Corey,Hart,CoreyHart,corey.hart@training.local,Toronto,CA,Vocals,+1-8765434,Concerts Canada Inc,"OU=Users,OU=Concerts Canada Inc,DC=training,DC=local"
Geddy,Lee ,GeddyLee,geddy.lee@training.local,Toronto,CA,Vocals,+1-8765435,Concerts Canada Inc,"OU=Users,OU=Concerts Canada Inc,DC=training,DC=local"
Ann,Wilson,AnnWilson,ann.wilson@trainingl.local,Toronto,CA,Vocals,+1-8765436,Concerts Canada Inc,"OU=Users,OU=Concerts Canada Inc,DC=training,DC=local"
Alanis,Morissette,AlanisMorissette,alanis.morissette@training.local,Toronto,CA,Vocals,+1-8765437,Concerts Canada Inc,"OU=Users,OU=Concerts Canada Inc,DC=training,DC=local"
Lee,Aaron,LeeAaron,lee.aaron@training.local,Toronto,CA,Vocals,+1-8765438,Concerts Canada Inc,"OU=Users,OU=Concerts Canada Inc,DC=training,DC=local"
Avril,Lavigne,AvrilLavigne,avril.lavigne@training.local,Toronto,CA,Vocals,+1-8765439,Concerts Canada Inc,"OU=Users,OU=Concerts Canada Inc,DC=training,DC=local"
Joni,Mitchell,JoniMitchell,joni.michell@training.local,Toronto,CA,Vocals,+1-8765440,Concerts Canada Inc,"OU=Users,OU=Concerts Canada Inc,DC=training,DC=local"
Michael,Sandler,MichaelSandler,michael.sandler@training.local,Toronto,CA,Vocals,+1-8765441,Concerts Canada Inc,"OU=Users,OU=Concerts Canada Inc,DC=training,DC=local"
Alex,Lifeson,AlexLifeson,alex.lifeson@training.local,Toronto,CA,Guitar,+1-8765442,Concerts Canada Inc,"OU=Users,OU=Concerts Canada Inc,DC=training,DC=local"
Angus,Young,AngusYoung,angus.young@training.local,Sydney,AU,Guitar,+61-1234567,Concerts Australia Inc,"OU=Users,OU=Concerts Australia Inc,DC=training,DC=local"
Phil,Rudd,PhilRudd,phil.rudd@training.local,Sydney,AU,Drums,+61-1234568,Concerts Australia Inc,"OU=Users,OU=Concerts Australia Inc,DC=training,DC=local"
Nick,Cave,NickCave,nick.cave@training.local,Sydney,AU,Vocals,+61-1234569,Concerts Australia Inc,"OU=Users,OU=Concerts Australia Inc,DC=training,DC=local"
Mark,Evans,MarkEvans,mark.evans@training.local,Sydney,AU,Bass,+61-1234570,Concerts Australia Inc,"OU=Users,OU=Concerts Australia Inc,DC=training,DC=local"
Virgil,Donati,VirgilDonati,virgil.donati@training.local,Sydney,AU,Drums,+61-1234571,Concerts Australia Inc,"OU=Users,OU=Concerts Australia Inc,DC=training,DC=local"
Natalie,Imbrulia,NatalieImbrulia,natalie.imbrullia@trainingl.local,Sydney,AU,Vocals,+61-1234572,Concerts Australia Inc,"OU=Users,OU=Concerts Australia Inc,DC=training,DC=local"
Kylie,Minogue,KylieMinogue,kylie.minogue@training.local,Sydney,AU,Vocals,+61-1234573,Concerts Australia Inc,"OU=Users,OU=Concerts Australia Inc,DC=training,DC=local"
Rick,Springfield,RickSpringfield,rick.springfield@training.local,Sydney,AU,Vocals,+61-1234574,Concerts Australia Inc,"OU=Users,OU=Concerts Australia Inc,DC=training,DC=local"
